iter	Logloss
123	0.323661293
124	0.3227620847
125	0.3221975334
126	0.3213536202
127	0.3201213507
128	0.3187352909
129	0.3172125283
130	0.3165276928
131	0.3155678233
132	0.3144679293
133	0.3137751835
134	0.3127963456
135	0.3119990075
136	0.3112647859
137	0.3105211265
138	0.3099427382
139	0.309198863
140	0.3086695378
141	0.3078260887
142	0.3069953172
143	0.3061986848
144	0.3055274464
145	0.3050362626
146	0.304666339
147	0.30398011
148	0.3034971571
149	0.3028365423
150	0.3017984423
151	0.3011121876
152	0.3006342739
153	0.2997689895
154	0.2991607725
155	0.2983969541
156	0.29790407
157	0.2975506861
158	0.2964889018
159	0.2959090763
160	0.2952406884
161	0.2947232796
162	0.2938549346
163	0.2931364152
164	0.29241513
165	0.2917704512
166	0.291126601
167	0.290699546
168	0.2901283687
169	0.2894976718
170	0.2887537606
171	0.2882271366
172	0.2875479197
173	0.2870255981
174	0.2863004568
175	0.285549676
176	0.2848893823
177	0.2845443361
178	0.2839355826
179	0.2832223255
180	0.2826345714
181	0.2818338438
182	0.2810844395
183	0.2805642875
184	0.2798586976
185	0.2794601441
186	0.2790379158
187	0.2784014801
188	0.2778420435
189	0.2772153066
190	0.2767191704
191	0.2762053875
192	0.2758784417
193	0.2753789465
194	0.2743695616
195	0.2737075425
196	0.2732310863
197	0.2727413613
198	0.2720207204
199	0.2716246389
200	0.2712540708
201	0.2705780901
202	0.2702898013
203	0.2700232934
204	0.2694667853
205	0.2686689279
206	0.2680881761
207	0.2676192669
208	0.2666051034
209	0.2661124953
210	0.2656218098
211	0.2647451726
212	0.2643066738
213	0.263799885
214	0.2633515351
215	0.2628540496
216	0.262504754
217	0.2620489176
218	0.2616531551
219	0.2610207868
220	0.2604680141
221	0.2600034243
222	0.2595523854
223	0.2591534538
224	0.2584856117
225	0.257851257
226	0.2573200751
227	0.256823432
228	0.2560603416
229	0.2555673746
230	0.2547736237
231	0.2542529452
232	0.2540190254
233	0.2533796003
234	0.2529955832
235	0.2525674317
236	0.252123467
237	0.2517523587
238	0.2511393282
239	0.2506592998
240	0.2502988976
241	0.2497667806
242	0.2491146636
243	0.2488280119
244	0.248329724
245	0.2479605472
246	0.247399326
247	0.247003542
248	0.2467375225
249	0.2463966576
250	0.2456824021
251	0.2452597373
252	0.244838083
253	0.2442545291
254	0.2437661121
255	0.2434238049
256	0.2428800881
257	0.2423749345
258	0.242084088
259	0.2417476827
260	0.2412372192
261	0.2408657357
262	0.240213627
263	0.2397437611
264	0.2392418314
265	0.2388284887
266	0.2384756505
267	0.2379566373
268	0.2373143801
269	0.2369754696
270	0.2366072507
271	0.2361494929
272	0.2357834686
273	0.2354508835
274	0.2350418587
275	0.2347323611
276	0.2343831075
277	0.2340632627
278	0.2337259419
279	0.233145638
280	0.2328790113
281	0.2325169751
282	0.2321322819
283	0.23189096
284	0.2315564849
285	0.2312055287
286	0.2309010746
287	0.2305740809
288	0.2301410768
289	0.2296602496
290	0.2292351703
291	0.2286915965
292	0.2283928392
293	0.2279038456
294	0.2274347471
295	0.2271215679
296	0.2266462711
297	0.2262475268
298	0.2259692813
299	0.2254455003
300	0.2249420232
301	0.2243379107
302	0.2238720198
303	0.223588217
304	0.2232435901
305	0.2228040842
306	0.2223499677
307	0.2221234932
308	0.2218110034
309	0.2213313574
310	0.2210982613
311	0.220555443
312	0.2201487819
313	0.2200046709
314	0.2197449942
315	0.2193663192
316	0.2190317195
317	0.2186704923
318	0.2183454132
319	0.2179478234
320	0.2174959576
321	0.2170549323
322	0.216752843
323	0.2164083603
324	0.2160804462
325	0.2158149111
326	0.2156449766
327	0.2153411755
328	0.2150506562
329	0.2146121011
330	0.2142493034
331	0.2138691586
332	0.2135367516
333	0.2130837325
334	0.212766333
335	0.2122722726
336	0.2118776542
337	0.2115909964
338	0.2109795095
339	0.2108334116
340	0.2105556953
341	0.2101681973
342	0.2098517341
343	0.2094866513
344	0.2090059553
345	0.2086086532
346	0.2082002148
347	0.2078576562
348	0.2073151726
349	0.2070878846
350	0.2067839897
351	0.2065437635
352	0.2062002933
353	0.2057562534
354	0.2053062523
355	0.2049251163
356	0.2044820737
357	0.2041067775
358	0.2037592614
359	0.2033658921
360	0.2030059035
361	0.2028370724
362	0.2025559345
363	0.2023565556
364	0.2019038631
365	0.2016156454
366	0.2013310356
367	0.2010197395
368	0.2007541032
369	0.2002718981
370	0.1999304833
371	0.1995132866
372	0.1992672594
373	0.1990150872
374	0.1984574959
375	0.1981585891
376	0.1979193583
377	0.1975188358
378	0.1970135765
379	0.1967183871
380	0.1965255427
381	0.1962323242
382	0.1959268403
383	0.1956839582
384	0.1953965851
385	0.1950590372
386	0.1945983397
387	0.1941914845
388	0.1938590827
389	0.1935699195
390	0.1932083343
391	0.1929532153
392	0.1926347277
393	0.1923507231
394	0.1921410746
395	0.1918086591
396	0.1915042944
397	0.1911704094
398	0.1909086074
399	0.1906038958
400	0.1903531212
401	0.1900954565
402	0.1898454438
403	0.1896312595
404	0.1893084603
405	0.1889928014
406	0.1887247507
407	0.1884442476
408	0.1882210949
409	0.1879609989
410	0.1877710546
411	0.1874955366
412	0.1872009742
413	0.1867665946
414	0.1861014228
415	0.1858585831
416	0.1854921131
417	0.1853049426
418	0.1850941748
419	0.1848404261
420	0.184497887
421	0.1841207799
422	0.1838756993
423	0.183496139
424	0.1830949782
425	0.1826983366
426	0.1824061588
427	0.1821659467
428	0.1817610184
429	0.1815156112
430	0.1812411639
431	0.1810036476
432	0.1807890182
433	0.1805999045
434	0.1802198694
435	0.1798781063
436	0.1796738866
437	0.1795073401
438	0.1793377865
439	0.1791321766
440	0.1787449705
441	0.1784246425
442	0.1781200046
443	0.1778765756
444	0.1776496671
445	0.1774295427
446	0.1772503574
447	0.177036357
448	0.1768730673
449	0.1764458758
450	0.1763062506
451	0.1760701461
452	0.1757049513
453	0.1755567073
454	0.1753110466
455	0.1750970198
456	0.1746444536
457	0.1742219048
458	0.1740000123
459	0.1738259204
460	0.1736366193
461	0.1735176909
462	0.1731893754
463	0.1730392496
464	0.1728285119
465	0.172537804
466	0.1723362294
467	0.1719918648
468	0.1716372904
469	0.1714086219
470	0.1712101573
471	0.1710514949
472	0.170879255
473	0.1705331271
474	0.1703147778
475	0.1700608246
476	0.1698164287
477	0.1696579857
478	0.1694727367
479	0.1691222565
480	0.1689017744
481	0.1687320015
482	0.1684894785
483	0.1681954596
484	0.1680411089
485	0.1678734804
486	0.1676875331
487	0.1673918621
488	0.1671235241
489	0.1668549589
490	0.166616686
491	0.16643096
492	0.1660921593
493	0.1659127111
494	0.1656548347
495	0.1655172447
496	0.1653954851
497	0.1651308574
498	0.1648986766
499	0.1647319993
