iter	Passed	Remaining
431	2586	407
432	2592	401
433	2598	395
434	2603	389
435	2610	383
436	2616	377
437	2621	371
438	2627	365
439	2633	359
440	2638	353
441	2644	347
442	2649	340
443	2655	334
444	2661	328
445	2667	322
446	2673	316
447	2679	311
448	2685	305
449	2692	299
450	2698	293
451	2703	287
452	2710	281
453	2715	275
454	2721	269
455	2727	263
456	2733	257
457	2739	251
458	2744	245
459	2750	239
460	2756	233
461	2762	227
462	2767	221
463	2773	215
464	2778	209
465	2784	203
466	2789	197
467	2795	191
468	2801	185
469	2807	179
470	2813	173
471	2819	167
472	2824	161
473	2830	155
474	2836	149
475	2842	143
476	2847	137
477	2853	131
478	2859	125
479	2865	119
480	2871	113
481	2877	107
482	2883	101
483	2889	95
484	2895	89
485	2902	83
486	2908	77
487	2914	71
488	2921	65
489	2927	59
490	2933	53
491	2939	47
492	2945	41
493	2951	35
494	2957	29
495	2963	23
496	2970	17
497	2976	11
498	2982	5
499	2988	0
